catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
90111200;90111200;Zentralverriegelung 84TE incl.;PB Locking Rail 84HP;Verouillage de carte 84HP;PB Locking Rail 84HP
90111300;90111300;Zentralverriegelung 63TE incl.;PB Locking Rail 63HP;Verouillage de carte 63HP;PB Locking Rail 63HP
90160000;90160000;Kartenführungsprofil L=2750mm;Guide-rail extrusion Aluminum,;Profilé guide-carte, alu,stk 2750;Guide-rail extrusion Aluminum,
90190000;90190000;Zwischenprofil B L=2700mm, elo;Horizontal center rail B, anod;Profilé interméd B, anod.,stk 270;Horizontal center rail B, anod
90190100;90190100;Zwischenprofil B 84TE, elox-1;"Horizontal center rail ""B"" 84H";Profilé intermédiaire B, anodi;"Horizontal center rail ""B"" 84H"
90190200;90190200;Zwischenprofil B 42TE, eloxier;Splitting Extrusion B, Anodize;Profilé intermédiaire B, anodi;Splitting Extrusion B, Anodize
90190300;90190300;Zwischenprofil B 63TE, eloxier;Horizontal center rail B 63HP,;Profilé intermédiaire B, anodi;Horizontal center rail B 63HP,
90194100;90194100;Zwischenprofil B 84TE, chromat;Splitting Extrusion B, Alodine;Profilé intermédiaire B, alodi;Splitting Extrusion B, Alodine
90194200;90194200;Zwischenprofil B 42TE, chromat;Splitting Extrusion B, Alodine;Profilé intermédiaire B, alodi;Splitting Extrusion B, Alodine
90194300;90194300;Zwischenprofil B 63TE, chromat;Splitting Extrusion B, Alodine;Profilé intermédiaire B, alodi;Splitting Extrusion B, Alodine
90210000;90210000;Schalttafelfrontpr. L=2700mm,e;Control Panel Front Rail Anodi;Profilé av-mont tableau,anod,stk;Control Panel Front Rail Anodi
